Os01g0100100	AK242339
Os01g0130400	AK102309
Os01g0130500	AK110956
Os01g0130900	AK105373
Os01g0131250	AK288735
Os01g0131300	AK101998
Os01g0131450	BT016869
Os01g0131600	AK063183
Os01g0131600	AK062063
Os01g0131800	AK243458
Os01g0131900	ab
Os01g0132000	AK059239
Os01g0132050	AK242071
Os01g0132100	ab
Os01g0132200	AK108153
Os01g0132400	AK106795
Os01g0132500	AK288006
Os01g0132700	AK241630
Os01g0132766	AK243652
Os01g0132800	AK068422
Os01g0133100	AK108760
Os01g0133100	AK109801
Os01g0133200	AK060424
Os01g0133400	AK065247
Os01g0133500	AK101585
Os01g0133500	AK101232
Os01g0133600	BT061103
Os01g0133650	EU965974
Os01g0133700	ab
Os01g0133766	X02683
Os01g0133799	EU965974
Os01g0133832	BT018992
Os01g0133866	EU971977
Os01g0133900	CT834929
Os01g0134200	AK102394
Os01g0134200	AK059156
Os01g0134500	AK111908
Os01g0134700	AK111442
Os01g0134800	AK063402
Os01g0134850	tplb0048l17
Os01g0134900	AK241996
Os01g0135000	AK119507
Os01g0135600	AK066675
Os01g0135700	AK062711
Os01g0135800	AK063681
Os01g0135900	AK064849
Os01g0135900	AK119599
Os01g0136000	AK252757
Os01g0136050	BT016978
Os01g0136100	AK242299
Os01g0136200	AK121025
Os01g0136300	AK062428
Os01g0136400	AK065470
Os01g0136450	ab
Os01g0136500	ab
Os01g0136502	FP099109
Os01g0136600	AK107801
Os01g0136700	AK243632
Os01g0136800	AK072170
Os01g0136850	tplb0046c23
Os01g0136900	ab
Os01g0137066	FP099109
Os01g0137125	tplb0026e19
Os01g0137150	AK240799
Os01g0137200	ab
Os01g0137232	tplb0026e19
Os01g0137250	ab
Os01g0137266	FP099109
Os01g0137282	ab
Os01g0137300	AK072903
Os01g0137400	BT067456
Os01g0137500	AK072359
Os01g0137550	AK240976
Os01g0137700	AK099988
Os01g0137750	FP099109
Os01g0137800	AK067239
Os01g0137875	tplb0026e19
Os01g0137950	AK288077
Os01g0138000	FP099109
Os01g0138100	AK107843
Os01g0138232	FP099109
Os01g0138300	AK070932
Os01g0138300	AK099912
Os01g0138350	tplb0026e19
Os01g0138400	AK110482
Os01g0138451	FP099109
Os01g0138500	AK073435
Os01g0138600	AK100982
Os01g0138800	AK106157
Os01g0138900	AK058378
Os01g0139000	AK248206
Os01g0139200	AK065080
Os01g0139200	AK098852
Os01g0139200	AK070687
Os01g0139600	AK073130
Os01g0139700	AK241178
Os01g0139900	AK121677
Os01g0140100	AK068990
Os01g0140400	AK103044
Os01g0140400	AK063999
Os01g0140500	AK058868
Os01g0140700	Q9AWS7
Os01g0141000	AK065008
Os01g0141100	AK067644
Os01g0141100	AK062139
Os01g0141150	BT016886
Os01g0141300	AF419850
Os01g0141450	BT016886
Os01g0141600	AK066922
Os01g0141700	AK112097
Os01g0141900	AK070848
Os01g0142100	AK065031
Os01g0142100	AK062266
Os01g0142200	AK103082
Os01g0142300	AK072289
Os01g0142300	AK060202
Os01g0142400	X06284
Os01g0142500	AK067964
Os01g0142600	AK119467
Os01g0142800	AK070036
Os01g0142800	AK102216
Os01g0142800	AK058745
Os01g0142875	tplb0038k08
Os01g0142950	AK288554
Os01g0143100	AK072025
Os01g0143300	AK108438
Os01g0143350	BT016884
Os01g0143400	ab
Os01g0143700	ab
Os01g0143750	BT016884
Os01g0143800	AK104561
Os01g0143800	AK104721
Os01g0143900	AK119686
Os01g0144000	AK101834
Os01g0144100	AK068113
Os01g0144200	AK059740
Os01g0144300	AK072770
Os01g0144340	AK365434
Os01g0144380	AK288541
Os01g0144500	AK331494
Os01g0144600	AK061501
Os01g0144700	AK063058
Os01g0144800	AK110697
Os01g0144900	AK101726
Os01g0145000	ab
Os01g0145200	AK243072
Os01g0145600	AK072818
Os01g0146101	AK242194
Os01g0146200	AK242893
Os01g0146600	AK109179
Os01g0146801	AK063128
Os01g0147001	BT087014
Os01g0147200	AK121921
Os01g0147200	AK106463
Os01g0147250	AK288985
Os01g0147300	AK242128
Os01g0147400	EU947732
Os01g0147600	ab
Os01g0147650	CT834946
Os01g0147700	AK066686
Os01g0147800	AK106926
Os01g0147850	EU945300
Os01g0147900	AK060920
Os01g0147950	BT016352
Os01g0148000	tplb0002l09
Os01g0148050	AK242925
Os01g0148100	AK067134
Os01g0148200	AK108014
Os01g0148400	AK099977
Os01g0148500	AK060256
Os01g0148700	AK101727
Os01g0148700	AK109379
Os01g0149200	AK069318
Os01g0149350	AB379819
Os01g0149400	D29712
Os01g0149500	AK100477
Os01g0149600	EU973825
Os01g0149700	AB379821
Os01g0149750	tplb0061a11
Os01g0149800	AK243576
Os01g0149900	AK066489
Os01g0150000	AK066325
Os01g0150000	AK060948
Os01g0150100	AK071085
Os01g0150200	AK099465
Os01g0150200	AK060935
Os01g0150400	ab
Os01g0150500	ab
Os01g0150700	AK068488
Os01g0150800	AK072612
Os01g0150900	AK058767
Os01g0150950	tplb0001l19
Os01g0151100	AK120777
Os01g0151200	AK120558
Os01g0151200	AK060590
Os01g0151200	AK110801
Os01g0151400	AK120703
Os01g0151500	AK371823
Os01g0151600	AK063435
Os01g0151700	AK099949
Os01g0151750	EU974518
Os01g0151900	AK241784
Os01g0152000	AK103666
Os01g0152050	tplb0061a11
Os01g0152100	EU970433
Os01g0152200	EU970433
Os01g0152300	CT828154
Os01g0152500	ab
Os01g0152600	ab
Os01g0152675	EU949002
Os01g0152687	EU423905
Os01g0152700	AK059159
Os01g0152800	AK102745
Os01g0152850	tplb0061a11
Os01g0152900	CT837552
Os01g0152950	EU970433
Os01g0152951	ab
Os01g0153000	ab
Os01g0153050	tplb0061a11
Os01g0153100	CT828153
Os01g0153150	AK288703
Os01g0153200	ab
Os01g0153250	EU944109
Os01g0153275	tplb0060h10
Os01g0153300	CT837551
Os01g0153400	AK059454
Os01g0153500	FP098916
Os01g0153550	BT085097
Os01g0153600	FP098916
Os01g0153625	BT085097
Os01g0153700	AK105875
Os01g0153800	AK331485
Os01g0153900	EU954866
Os01g0153950	EU972340
Os01g0154000	AK108752
Os01g0154100	EU954866
Os01g0154200	FP098916
Os01g0154250	BT085097
Os01g0154300	ab
Os01g0154500	AK108793
Os01g0154550	AK288511
Os01g0154600	AK106595
Os01g0154950	AK287908
Os01g0155000	AK060305
Os01g0155200	AK252147
Os01g0155300	BT084857
Os01g0155400	AK063770
Os01g0155500	AK099840
Os01g0155600	AK071635
Os01g0155600	AK060171
Os01g0155800	AK241045
Os01g0156000	AK106969
Os01g0156300	AK107993
Os01g0157200	AK108577
Os01g0157400	EU974248
Os01g0157500	EU965613
Os01g0157600	AK106766
Os01g0157700	AK376884
Os01g0157800	AK121694
Os01g0157900	AK072658
Os01g0158000	AK103127
Os01g0158000	AK058679
Os01g0158100	AK109233
Os01g0158200	AK071183
Os01g0158400	AK102322
Os01g0158400	AK063812
Os01g0158500	AK241813
Os01g0158533	tplb0044b06
Os01g0158566	CU861703
Os01g0158600	AK070173
Os01g0158800	FP096693
Os01g0158900	AK066765
Os01g0158900	AK059497
Os01g0159000	AK070330
Os01g0159200	AK108308
Os01g0159250	FP097651
Os01g0159300	AK073728
Os01g0159400	AK100550
Os01g0159500	AK069408
Os01g0159600	AK122153
Os01g0159800	AK106292
Os01g0160100	AK069905
Os01g0160150	tplb0035b22
Os01g0160200	AK102533
Os01g0160700	ab
Os01g0160800	AK103707
Os01g0161000	ab
Os01g0161200	AK065680
Os01g0161300	ab
Os01g0162001	CT834812
Os01g0162101	CT834828
Os01g0162200	ab
Os01g0162300	AK108785
Os01g0162400	AK108484
Os01g0162500	AK242779
Os01g0162701	AK241400
Os01g0162800	ab
Os01g0162900	AK064678
Os01g0163000	AK072107
Os01g0163450	AK288421
Os01g0163616	EU946325
Os01g0164075	ab
Os01g0164300	ab
Os01g0164400	AK061428
Os01g0164500	AK068747
Os01g0164600	AK099645
Os01g0164650	EU944689
Os01g0164700	AK066699
Os01g0164800	AK064572
Os01g0164900	AK064137
Os01g0165000	AK067313
Os01g0165000	AK121956
Os01g0165100	AK103011
Os01g0165200	AK066661
Os01g0165200	AK102967
Os01g0165600	AK335607
Os01g0165800	AK119338
Os01g0166100	AK103697
Os01g0166200	AK111019
Os01g0166300	FP099530
Os01g0166400	AK241417
Os01g0166400	AK241638
Os01g0166500	AK122083
Os01g0166700	AK067805
Os01g0166800	AK073783
Os01g0167100	AK072599
Os01g0167100	AK063153
Os01g0167400	AK120073
Os01g0167500	AK062253
Os01g0167600	EU970199
Os01g0167700	AK069523
Os01g0167750	BT085700
Os01g0167800	AK101983
Os01g0167900	AK072705
Os01g0168000	AK120808
Os01g0168100	AK121992
Os01g0168100	AK064373
Os01g0168200	AK103756
Os01g0168300	AK063678
Os01g0168350	EU949302
Os01g0168400	AK120658
Os01g0168450	tplb0030g10
Os01g0168500	AK072657
Os01g0168600	AK288853
Os01g0168800	AK289212
Os01g0168850	AK287979
Os01g0169000	EU971393
Os01g0169400	AK105527
Os01g0169500	AK120051
Os01g0169500	AK121259
Os01g0169800	AK061054
Os01g0169851	ab
Os01g0169900	AK121293
Os01g0170000	AK061224
Os01g0170051	tplb0031h14
Os01g0170100	AK242074
Os01g0170300	AK241418
Os01g0170500	AK106837
Os01g0170600	AK073628
Os01g0170600	AK067202
Os01g0170700	AK101269
Os01g0170800	AK101200
Os01g0170900	AK111084
Os01g0171000	AK100017
Os01g0171000	AK060282
Os01g0171100	AK367141
Os01g0171200	AK109475
Os01g0171200	AK107515
Os01g0171800	AK067987
Os01g0172000	AK068405
Os01g0172100	AK060343
Os01g0172200	AK100326
Os01g0172300	AK106113
Os01g0172400	AK100365
Os01g0172400	AK119523
Os01g0172400	AK065102
Os01g0172400	AK066556
Os01g0172400	AK061865
Os01g0172600	AK058554
Os01g0172701	CT833782
Os01g0172800	AK067273
Os01g0172900	ab
Os01g0173000	AK287669
Os01g0173100	AK121114
Os01g0173600	CT835513
Os01g0173900	AK121690
Os01g0173950	tplb0011b09
Os01g0174000	EU958008
Os01g0174100	AK120465
Os01g0174200	AK121228
Os01g0174300	AK071324
Os01g0174300	AK104306
Os01g0174400	AK242096
Os01g0174500	AK070484
Os01g0174500	AK104673
Os01g0174600	AK107662
Os01g0174700	AK101660
Os01g0174700	AK073313
Os01g0174900	AK060966
Os01g0175000	AK106131
Os01g0175000	AK061797
Os01g0175000	AK101698
Os01g0175100	AK071289
Os01g0175400	AK102191
Os01g0175500	AK073316
Os01g0175600	AK072421
Os01g0175633	tplb0036c02
Os01g0175700	DQ421408
Os01g0175733	tplb0036c02
Os01g0175850	EU958030
Os01g0176000	AK103303
Os01g0176050	EU964909
Os01g0176100	ab
Os01g0176150	BT035478
Os01g0176200	AK102335
Os01g0176200	AK064351
Os01g0176300	AK249469
Os01g0176400	AK111327
Os01g0176500	AK102552
Os01g0176500	AK064369
Os01g0176700	AK109808
Os01g0176751	EU973944
Os01g0176800	AK318595
Os01g0176900	tplb0013b01
Os01g0177100	AK072687
Os01g0177100	AK122062
Os01g0177150	AK288777
Os01g0177200	AK103230
Os01g0177400	AB056518
Os01g0177500	AK376085
Os01g0177900	AK061474
Os01g0177900	AK058355
Os01g0178000	AK067702
Os01g0178000	AK120458
Os01g0178100	AK122048
Os01g0178200	ab
Os01g0178300	AK062450
Os01g0178400	AK108850
Os01g0178500	AK109373
Os01g0178600	ab
Os01g0178700	AK103147
Os01g0178775	tplb0030e06
Os01g0178850	EU947798
Os01g0178900	AK110770
Os01g0179000	AK288049
Os01g0179200	AK106425
Os01g0179300	AK066179
Os01g0179300	AK062062
Os01g0179400	AK063507
Os01g0179500	AK105394
Os01g0179600	AK243646
Os01g0179700	AK059888
Os01g0179750	BT019232
Os01g0179800	AK069734
Os01g0179901	AK242152
Os01g0180000	AK103199
Os01g0180050	BT068200
Os01g0180300	AK120377
Os01g0180300	AK061954
Os01g0180400	AK108226
Os01g0180500	EU973947
Os01g0180600	AK122068
Os01g0180700	AK240913
Os01g0180800	AK100676
Os01g0180800	AK059244
Os01g0180800	AK061691
Os01g0180850	tplb0021a19
Os01g0180900	AK357358
Os01g0181000	EU948578
Os01g0181033	AJ010976
Os01g0181166	CU405586
Os01g0181300	CT834964
Os01g0182100	AK066557
Os01g0182200	AK106173
Os01g0182200	AK109424
Os01g0182300	AK062827
Os01g0182400	AK070335
Os01g0182500	FP094722
Os01g0182600	AK067038
Os01g0182600	AK072166
Os01g0182700	AK108755
Os01g0182832	EU940917
Os01g0182900	AK061255
Os01g0183000	AK287974
Os01g0183100	AK111760
Os01g0183300	AK110423
Os01g0183400	AK373759
Os01g0183500	AK242195
Os01g0183600	AK110852
Os01g0183633	AK318597
Os01g0183800	AK106385
Os01g0183850	ab
Os01g0183950	EU942531
Os01g0184000	AK100604
Os01g0184000	AK071130
Os01g0184050	BT016978
Os01g0184100	AK071240
Os01g0184200	AK120391
Os01g0184500	AK060699
Os01g0184700	AK061353
Os01g0184800	AK073377
Os01g0184900	AK066832
Os01g0184900	AK068959
Os01g0185000	ab
Os01g0185100	BT065044
Os01g0185200	AK062984
Os01g0185200	AK111284
Os01g0185200	AK065125
Os01g0185250	AK107836
Os01g0185300	AK065131
Os01g0185300	AK061343
Os01g0185350	AK110554
Os01g0185400	AK112064
Os01g0185500	FP093547
Os01g0185900	AK289240
Os01g0186000	AK109578
Os01g0186200	AK109372
Os01g0186200	AK111679
Os01g0186400	AK288724
Os01g0186600	AK108138
Os01g0186700	AK121977
Os01g0186900	AK105331
Os01g0186900	AK105323
Os01g0186900	AK106168
Os01g0186950	tplb0058c08
Os01g0187000	AK064094
Os01g0187200	AK110797
Os01g0187300	AK064460
Os01g0187350	BT063600
Os01g0187400	AK099852
Os01g0187500	AK111592
Os01g0187600	AK109624
Os01g0187900	AK071611
Os01g0188100	AK243477
Os01g0188200	AK106248
Os01g0188400	AK072842
Os01g0188400	AK060358
Os01g0188525	BT068870
Os01g0188900	AK066235
Os01g0189100	AK071981
Os01g0189700	AK100662
Os01g0189700	AK071329
Os01g0189700	AK119982
Os01g0189700	AK059650
Os01g0189800	AK101747
Os01g0190000	AK288019
Os01g0190300	AK100314
Os01g0190400	AK064011
Os01g0190400	AK099119
Os01g0190500	AK119868
Os01g0191000	EU963117
Os01g0191100	AK058815
Os01g0191150	AK375203
Os01g0191200	AK100363
Os01g0191200	AK060964
Os01g0191300	AK106152
Os01g0191300	AK066231
Os01g0191300	AK121339
Os01g0191400	AK101179
Os01g0191500	AK101856
Os01g0191700	AK121093
Os01g0191800	AK102360
Os01g0191800	AK061360
Os01g0191900	AK109125
Os01g0192000	AK100770
Os01g0192000	AK073660
Os01g0192101	EU957563
Os01g0192300	AK062109
Os01g0192300	AK062458
Os01g0192401	EU949920
Os01g0192500	EU964716
Os01g0192550	AK241461
Os01g0192600	AK100731
Os01g0192700	tplb0040a08
Os01g0192900	BT068927
Os01g0193250	EU959976
Os01g0193400	AK107005
Os01g0193400	AK069948
Os01g0193400	AK099271
Os01g0193400	AK287954
Os01g0193500	AK353821
Os01g0193600	AK068784
Os01g0193700	tplb0022j08
Os01g0193900	AK064472
Os01g0193900	AK110899
Os01g0194000	AK071994
Os01g0194000	AK058353
Os01g0194200	AK073282
Os01g0194300	AK120715
Os01g0194600	AK102031
Os01g0195000	AK105663
Os01g0195066	CT834794
Os01g0195100	AK121095
Os01g0195200	AK105501
Os01g0195300	BT016482
Os01g0195400	CU406162
Os01g0195500	AK070619
Os01g0195700	ab
Os01g0195801	ab
Os01g0196133	FP099421
Os01g0196300	AK102964
Os01g0196500	AK243372
Os01g0196600	AK101742
Os01g0196800	AK072341
Os01g0197100	BT084047
Os01g0197150	tplb0027h03
Os01g0197200	AK243305
Os01g0197350	ab
Os01g0197400	AK102992
Os01g0197450	BT064027
Os01g0197500	CT834961
Os01g0197700	AK243684
Os01g0197900	AK105570
Os01g0198000	AK064209
Os01g0198100	AK119908
Os01g0198200	AK103403
Os01g0198200	AK060271
Os01g0198200	AK099617
Os01g0198250	BT084747
Os01g0198500	AK108464
Os01g0198702	AK242704
Os01g0198900	AK060553
Os01g0198900	AK099171
Os01g0199300	CT834808
Os01g0199400	AK068509
Os01g0199400	AK070748
Os01g0199550	BT067814
Os01g0199700	AK369362
Os01g0199900	AK068172
Os01g0199950	AF457972
Os01g0200000	AK067737
Os01g0200150	EU940960
Os01g0200200	tplb0005h18
Os01g0200300	AK112091
Os01g0200350	tplb0037d04
Os01g0200400	AK070272
Os01g0200500	AK068290
Os01g0200600	AK108873
Os01g0200700	AK058313
Os01g0200950	BT069752
Os01g0201000	AK242352
Os01g0201100	AK243549
Os01g0201200	AK069537
Os01g0201250	AK360345
Os01g0201275	BT019156
Os01g0201300	CT835525
Os01g0201400	AK070397
Os01g0201500	ab
Os01g0201600	AK073568
Os01g0201600	AK058956
Os01g0201700	AK108568
Os01g0201750	AK289152
Os01g0201800	ab
Os01g0201850	AK288797
Os01g0201900	AK106359
Os01g0202500	AK242176
Os01g0202601	AK359240
Os01g0202700	ab
Os01g0202800	EU972991
Os01g0203000	AK067471
Os01g0203300	AK106329
Os01g0203400	AK120469
Os01g0203800	AK100265
Os01g0203800	AK101527
Os01g0203900	AK358087
Os01g0204000	AK101188
Os01g0204000	AK067829
Os01g0205100	AK121987
Os01g0205200	AK110817
Os01g0205300	EU971948
Os01g0205401	X06284
Os01g0205500	AK067763
Os01g0205550	BT016915
Os01g0205600	AK067719
Os01g0205700	AK099863
Os01g0205800	tplb0034j24
Os01g0205900	AK105932
Os01g0205900	AK060687
Os01g0206200	AK102840
Os01g0206300	Q5QNM6
Os01g0206600	AK240938
Os01g0206650	tplb0042a18
Os01g0206700	AK065589
Os01g0206700	AK069681
Os01g0206700	AK071552
Os01g0206800	AK100525
Os01g0207001	tplb0058b08
Os01g0207200	AK103341
Os01g0207300	ab
Os01g0207400	AK109337
Os01g0207500	AK073127
Os01g0207600	tplb0030p14
Os01g0207700	ab
Os01g0207900	AK357640
Os01g0208000	AK108020
Os01g0208400	AK105750
Os01g0208600	AK120865
Os01g0208600	AK067713
Os01g0208600	AK104676
Os01g0208700	AK066635
Os01g0208800	AK109734
Os01g0209000	AK103701
Os01g0209000	AK243035
Os01g0209150	AK240783
Os01g0209200	AK103145
Os01g0209300	BT017754
Os01g0209400	AK103702
Os01g0209500	AK072686
Os01g0209566	BT016846
Os01g0209700	AK108802
Os01g0209750	BT038748
Os01g0209800	AK061588
Os01g0209800	AK099094
Os01g0209901	tplb0044b08
Os01g0210200	AF099372
Os01g0210300	AK106937
Os01g0210400	ab
Os01g0210500	AK071702
Os01g0210550	EU943029
Os01g0210600	AK060099
Os01g0210700	AK065938
Os01g0210750	tplb0036k14
Os01g0210800	AK069335
Os01g0210900	AK071150
Os01g0211000	ab
Os01g0211200	ab
Os01g0211400	AK373128
Os01g0211600	AK060710
Os01g0211800	AK100944
Os01g0212000	AK063245
Os01g0212100	AK101456
Os01g0212100	AK065467
Os01g0212400	AK066468
Os01g0212500	AK120776
Os01g0212700	AK108311
Os01g0212900	CT834777
Os01g0213100	EU969212
Os01g0213300	DQ512368
Os01g0213350	AK288324
Os01g0213400	AK068075
Os01g0213800	AK241658
Os01g0214001	tplb0053f05
Os01g0214200	AK061229
Os01g0214300	AK060604
Os01g0214400	AK242400
Os01g0214500	AK062484
Os01g0214600	AK103614
Os01g0214800	AK065001
Os01g0214800	AK069801
Os01g0214800	AK060120
Os01g0214901	tplb0048c08
Os01g0215000	AK100754
Os01g0215100	ab
Os01g0215500	AK059318
Os01g0215700	AK059088
Os01g0215700	AK061118
Os01g0215725	tplb0048c08
Os01g0215750	AK288679
Os01g0216000	AK058429
Os01g0216150	tplb0048c08
Os01g0216300	AK107557
Os01g0216350	EU950608
Os01g0216400	ab
