Os01g0100100	RabGAP/TBC_domain_containing_protein.
Os01g0120600	Similar_to_Oxidoreductase_NAD_binding domain containing protein, expressed.
Os01g0120700	Similar_to_sarcoplasmic_reticulum_histidine_rich calcium_binding protein.
Os01g0120800	Similar_to_Eukaryotic_translation_initiation_factor_3_subunit_10_(eIF_3 theta) (Eukaryotic translation initiation factor 3 large subunit) (eIF3a).
Os01g0120800	Similar_to_Translation_initiation_factor_3.
Os01g0121000	Conserved_hypothetical_protein.
Os01g0121100	Similar_to_SLL2.
Os01g0121200	Zinc_finger,_RING/FYVE/PHD_type domain containing protein.
Os01g0121300	Conserved_hypothetical_protein.
Os01g0121400	Hypothetical_protein.
Os01g0121500	Conserved_hypothetical_protein.
Os01g0121600	Conserved_hypothetical_protein.
Os01g0121700	ABC_transporter_like domain containing protein.
Os01g0121800	Glycosyl_transferase,_family_14_protein.
Os01g0121800	Similar_to_xylosyltransferase_1.
Os01g0121900	Seven_in_absentia protein, sina domain containing protein.
Os01g0121950	Hypothetical_conserved_gene.
Os01g0122000	Conserved_hypothetical_protein.
Os01g0122200	Seven_In_Absentia_Homolog_type domain containing protein.
Os01g0122367	Hypothetical_protein.
Os01g0122534	Hypothetical_protein.
Os01g0122701	Conserved_hypothetical_protein.
Os01g0123500	Conserved_hypothetical_protein.
Os01g0123700	Zinc_finger,_RING_type domain containing protein.
Os01g0123800	Seven_in_absentia protein, sina domain containing protein.
Os01g0123900	Similar_to_Bowman_Birk type proteinase inhibitor (EBI).
Os01g0124000	Similar_to_Bowman_Birk_trypsin_inhibitor.
Os01g0124100	Proteinase_inhibitor_I12,_Bowman_Birk family protein.
Os01g0124200	Similar_to_Bowman_Birk_trypsin_inhibitor.
Os01g0124401	Similar_to_Bowman_Birk type bran trypsin inhibitor.
Os01g0124550	Hypothetical_protein.
Os01g0124600	Similar_to_cDNA_clone:001_125_E08, full insert sequence.
Os01g0124650	Hypothetical_conserved_gene.
Os01g0124700	Hypothetical_protein.
Os01g0124900	Seven_in_absentia protein, sina domain containing protein.
Os01g0125000	Seven_in_absentia protein, sina domain containing protein.
Os01g0125500	Seven_in_absentia protein, sina domain containing protein.
Os01g0125550	Conserved_hypothetical_protein.
Os01g0125600	Heavy_metal_transport/detoxification_protein_domain_containing_protein.
Os01g0125700	Conserved_hypothetical_protein.
Os01g0125800	Actin_interacting, WD40_repeat protein, Actin turnover
Os01g0125850	Hypothetical_protein.
Os01g0125900	Ubiquitin_conjugating enzyme/RWD_like domain containing protein.
Os01g0126000	Hypothetical_gene.
Os01g0126100	Multicopper_oxidase
Os01g0126200	Multicopper_oxidase
Os01g0126401	Hypothetical_gene.
Os01g0126600	Similar_to_X1_(Fragment).
Os01g0126900	Multicopper_oxidase
Os01g0127000	Multicopper_oxidase,_Maintenance_of_Pi_homeostasis
Os01g0127100	Hypothetical_protein.
Os01g0127200	Multicopper_oxidase,_Maintenance_of_Pi_homeostasis
Os01g0127300	SufBD_family_protein.
Os01g0127400	Protein_of_unknown_function_DUF3326_domain_containing_protein.
Os01g0127450	Similar_to_MYBL2_(ARABIDOPSIS_MYB_LIKE 2); DNA binding / transcription factor.
Os01g0127500	NAD(P)_binding domain containing protein.
Os01g0127600	Similar_to_Bowman_Birk type proteinase inhibitor D_II precursor (IV).
Os01g0127700	Conserved_hypothetical_protein.
Os01g0127900	Mannose_6_phosphate isomerase domain containing protein.
Os01g0128000	Myb_transcription_factor_domain_containing_protein.
Os01g0128100	Similar_to_Bifunctional_nuclease_(Fragment).
Os01g0128200	Similar_to_Nuclease_I.
Os01g0128250	Hypothetical_gene.
Os01g0128300	Similar_to_predicted_protein.
Os01g0128400	Protein_of_unknown_function_DUF2359,_TMEM214_domain_containing_protein.
Os01g0128400	Similar_to_predicted_protein.
Os01g0128700	Conserved_hypothetical_protein.
Os01g0128800	Similar_to_plant_synaptotagmin.
Os01g0129200	C2H2_zinc_finger transcription factor, Floral organ identity, Cellular proliferation
Os01g0129500	Protein_of_unknown_function_DUF1666_family_protein.
Os01g0129550	Hypothetical_gene.
Os01g0129600	Similar_to_LBD40_(LOB_DOMAIN_CONTAINING PROTEIN 40).
Os01g0129800	Conserved_hypothetical_protein.
Os01g0130000	Cation_efflux_protein_family_protein.
Os01g0130000	Similar_to_metal_tolerance_protein_C3.
Os01g0130100	Hypothetical_gene.
Os01g0130200	Hypothetical_conserved_gene.
Os01g0130400	Similar_to_Alpha_xylosidase precursor (Fragment).
Os01g0130500	Similar_to_Alpha_xylosidase precursor (Fragment).
Os01g0130900	Conserved_hypothetical_protein.
Os01g0131250	Hypothetical_gene.
Os01g0131300	Conserved_hypothetical_protein.
Os01g0131450	Hypothetical_protein.
Os01g0131600	Hypothetical_conserved_gene.
Os01g0131600	Similar_to_pathogenesis_related transcriptional activator PTI6.
Os01g0131800	Signal_peptidase_22_kDa_subunit_family_protein.
Os01g0131900	Similar_to_Wound_induced protease inhibitor (WIP1).
Os01g0132000	Similar_to_Wound_induced protease inhibitor (WIP1).
Os01g0132050	Hypothetical_protein.
Os01g0132100	Leucine_rich repeat domain containing protein.
Os01g0132200	Conserved_hypothetical_protein.
Os01g0132400	Conserved_hypothetical_protein.
Os01g0132500	Protein_of_unknown_function_DUF1639_domain_containing_protein.
Os01g0132700	Surfeit_locus_5_family_protein.
Os01g0132766	Zinc_finger,_C2H2_like domain containing protein.
Os01g0132800	Peptidyl_tRNA hydrolase family protein.
Os01g0133100	Conserved_hypothetical_protein.
Os01g0133100	Hypothetical_conserved_gene.
Os01g0133200	Conserved_hypothetical_protein.
Os01g0133400	Similar_to_Hexose_transporter_(Fragment).
Os01g0133500	Beta_lactamase_like domain containing protein.
Os01g0133500	Similar_to_predicted_protein.
Os01g0133600	Hypothetical_conserved_gene.
Os01g0133650	Hypothetical_gene.
Os01g0133700	Glycosyl_transferase,_family_14_domain_containing_protein.
Os01g0133799	Hypothetical_protein.
Os01g0133832	Hypothetical_gene.
Os01g0133866	Hypothetical_protein.
Os01g0133900	Similar_to_predicted_protein.
Os01g0134200	Similar_to_Universal_stress_protein_family_protein.
Os01g0134200	Hypothetical_conserved_gene.
Os01g0134500	Similar_to_Delta_7_sterol_C5(6)_desaturase (EC 1.3.3._) (Delta_7_C_5 sterol desaturase) (Delta7_sterol_C5_desaturase).
Os01g0134700	Calmodulin_binding_protein_like family protein.
Os01g0134800	Similar_to_(1,4)_beta_xylan endohydrolase, isoenzyme X_II (EC 3.2.1.8) (Fragment).
Os01g0134850	Hypothetical_protein.
Os01g0134900	(1,4)_beta_xylan endohydrolase, isoenzyme X_II (EC 3.2.1.8) (Fragment).
Os01g0135000	Similar_to_1,4_beta_D xylan xylanohydrolase (Fragment).
Os01g0135600	Conserved_hypothetical_protein.
Os01g0135700	EF_HAND 2 domain containing protein.
Os01g0135800	Similar_to_Cytosolic_class_I_small_heat_shock_protein_3B_(Fragment).
Os01g0135900	Similar_to_Cytosolic_class_I_small_heat_shock_protein_3C_(Fragment).
Os01g0135900	LMW_heat_shock_protein.
Os01g0136000	Similar_to_Cytosolic_class_I_small_heat_shock protein HSP17.5.
Os01g0136050	Similar_to_16.9_kDa_heat_shock_protein.
Os01g0136100	16.9_kDa_class_I_heat_shock_protein_1.
Os01g0136200	16.9_kDa_class_I_heat_shock_protein_1.
Os01g0136300	Conserved_hypothetical_protein.
Os01g0136400	Protein_kinase,_core_domain_containing_protein.
Os01g0136450	Conserved_hypothetical_protein.
Os01g0136500	Conserved_hypothetical_protein.
Os01g0136502	Hypothetical_protein.
Os01g0136600	Conserved_hypothetical_protein.
Os01g0136700	Conserved_hypothetical_protein.
Os01g0136800	Protein_kinase,_core_domain_containing_protein.
Os01g0136850	Hypothetical_protein.
Os01g0136900	Similar_to_Stress_induced receptor_like kinase 2.
Os01g0137125	Hypothetical_protein.
Os01g0137200	Hypothetical_conserved_gene.
Os01g0137250	Similar_to_Stress_induced receptor_like kinase 2.
Os01g0137266	Hypothetical_protein.
Os01g0137282	Conserved_hypothetical_protein.
Os01g0137300	Hypothetical_protein.
Os01g0137400	Protein_kinase,_catalytic_domain_domain_containing_protein.
Os01g0137500	Protein_kinase,_catalytic_domain_domain_containing_protein.
Os01g0137550	Similar_to_H0215A08.3_protein.
Os01g0137700	Conserved_hypothetical_protein.
Os01g0137950	Similar_to_predicted_protein.
Os01g0138000	Hypothetical_protein.
Os01g0138100	Conserved_hypothetical_protein.
Os01g0138232	Hypothetical_protein.
Os01g0138300	Conserved_hypothetical_protein.
Os01g0138300	Protein_kinase,_core_domain_containing_protein.
Os01g0138400	Serine/threonine_protein_kinase_domain_containing_protein.
Os01g0138451	Hypothetical_protein.
Os01g0138500	Protein_of_unknown_function_DUF789_family_protein.
Os01g0138600	phosphotransferase_system,_PEP_utilising enzyme, N_terminal domain containing protein.
Os01g0138800	Peptidase_C26_domain_containing_protein.
Os01g0138900	Mandelate_racemase/muconate_lactonizing_enzyme_family_protein.
Os01g0139000	Reticulon_family_protein.
Os01g0139200	Octicosapeptide/Phox/Bem1p_domain_containing_protein.
Os01g0139200	Conserved_hypothetical_protein.
Os01g0139600	Similar_to_Lipid_phosphate_phosphatase_2_(EC_3.1.3._) (AtLPP2) (Phosphatidic acid phosphatase 2) (AtPAP2) (Prenyl diphosphate phosphatase).
Os01g0139700	Conserved_hypothetical_protein.
Os01g0139900	Conserved_hypothetical_protein.
Os01g0140100	Peptidase_A1_domain_containing_protein.
Os01g0140400	Similar_to_leucine_rich repeat protein_related.
Os01g0140400	Leucine_rich repeat, N_terminal domain containing protein.
Os01g0140500	Similar_to_60S_ribosomal_protein_L26B.
Os01g0140700	Similar_to_RAV2_(REGULATOR_OF_THE_ATPASE_OF_THE_VACUOLAR_MEMBRANE);_DNA_binding_/_transcription_factor.
Os01g0141000	AP2/ERF_and_B3_domain_containing protein, Salt stress response
Os01g0141100	Similar_to_Salt_induced AAA_Type ATPase.
Os01g0141100	Similar_to_Vacuolar_sorting_protein_4b.
Os01g0141150	Hypothetical_gene.
Os01g0141300	Similar_to_vacuolar_sorting_protein_4b.
Os01g0141450	Hypothetical_gene.
Os01g0141600	Protein_of_unknown_function_DUF647_family_protein.
Os01g0141700	Similar_to_predicted_protein.
Os01g0141900	Conserved_hypothetical_protein.
Os01g0142100	Peptidase_M50_family_protein.
Os01g0142100	Similar_to_Metalloendopeptidase.
Os01g0142200	Kinase_binding_protein_CGI_121 domain containing protein.
Os01g0142300	Glycosyl_transferase,_group_1_domain_containing_protein.
Os01g0142500	Homeodomain_like containing protein.
Os01g0142600	Conserved_hypothetical_protein.
Os01g0142800	Putative_peptide_transporter,_Long_distance translocation of dimethylarsinate to rice grain
Os01g0142800	Similar_to_cDNA_clone:J023036E09,_full_insert_sequence_(Fragment).
Os01g0142800	Similar_to_Peptide_transporter.
Os01g0142875	Hypothetical_protein.
Os01g0142950	Conserved_hypothetical_protein.
Os01g0143100	Adenine_nucleotide_translocator_1_domain_containing_protein.
Os01g0143300	Similar_to_Glycine_rich protein (Fragment).
Os01g0143350	Hypothetical_gene.
Os01g0143400	Protein_of_unknown_function_DUF594_domain_containing_protein.
Os01g0143700	Similar_to_Mitochondrial_glycoprotein.
Os01g0143750	Hypothetical_protein.
Os01g0143800	Mitochondrial_glycoprotein_family_protein.
Os01g0143900	Conserved_hypothetical_protein.
Os01g0144000	Conserved_hypothetical_protein.
Os01g0144100	Similar_to_Thylakoid_lumenal_15_kDa_protein,_chloroplast_precursor_(p15).
Os01g0144200	Vacuolar_import_and_degradation_protein_Vid24_domain_containing_protein.
Os01g0144300	Conserved_hypothetical_protein.
Os01g0144340	Similar_to_Actin_related protein 5.
Os01g0144380	Hypothetical_gene.
Os01g0144500	Ubiquitin_fusion_degradation_protein_UFD1_domain_containing_protein.
Os01g0144600	Conserved_hypothetical_protein.
Os01g0144700	Conserved_hypothetical_protein.
Os01g0144800	Protein_of_unknown_function_DUF3681_domain_containing_protein.
Os01g0144900	Hypothetical_protein.
Os01g0145000	Hypothetical_conserved_gene.
Os01g0145200	Protein_of_unknown_function_DUF3681_domain_containing_protein.
Os01g0145600	Conserved_hypothetical_protein.
Os01g0146101	Conserved_hypothetical_protein.
Os01g0146200	Protein_of_unknown_function_DUF3681_domain_containing_protein.
Os01g0146600	Conserved_hypothetical_protein.
Os01g0146801	Conserved_hypothetical_protein.
Os01g0147001	Similar_to_H0212B02.9_protein.
Os01g0147200	IWS1,_C_terminal family protein.
Os01g0147200	Similar_to_IWS1_C_terminus family protein.
Os01g0147250	Hypothetical_gene.
Os01g0147300	Similar_to_membrane_protein.
Os01g0147400	Uncharacterised_domain_XH_domain_containing_protein.
Os01g0147600	Conserved_hypothetical_protein.
Os01g0147700	Region_of_unknown_function_XH_domain_containing_protein.
Os01g0147800	Domain_of_unknown_function_DUF547_domain_containing_protein.
Os01g0147850	Hypothetical_protein.
Os01g0147900	Triosephosphate_isomerase,_cytosolic_(EC_5.3.1.1)_(TIM)_(Triose_ phosphate isomerase).
Os01g0148000	Similar_to_predicted_protein.
Os01g0148050	Hypothetical_conserved_gene.
Os01g0148100	Conserved_hypothetical_protein.
Os01g0148200	Hypothetical_protein.
Os01g0148400	Brix_domain_containing_protein.
Os01g0148500	Protein_of_unknown_function_DUF1677,_Oryza_sativa_family_protein.
Os01g0148700	Protein_of_unknown_function_DUF1677,_Oryza_sativa_family_protein.
Os01g0149200	Hypothetical_gene.
Os01g0149350	NB_ARC domain containing protein.
Os01g0149400	Hypothetical_protein.
Os01g0149500	NBS_LRR domain_containing protein, Rice blast disease resistance
Os01g0149600	Histon_H2B
Os01g0149700	Hypothetical_conserved_gene.
Os01g0149750	Hypothetical_protein.
Os01g0149800	Metallothionein_like protein type 2.
Os01g0149900	Conserved_hypothetical_protein.
Os01g0150000	Similar_to_Synaptic_glycoprotein_SC2.
Os01g0150000	3_oxo_5_alpha_steroid 4_dehydrogenase, C_terminal domain containing protein.
Os01g0150100	Similar_to_Geranylgeranyltransferase_type_I_beta_subunit.
Os01g0150200	Protein_tyrosine phosphatase_like, PTPLA domain containing protein.
Os01g0150400	Similar_to_3_hydroxyacyl_CoA dehydratase PASTICCINO 2A.
Os01g0150500	Similar_to_3_hydroxyacyl_CoA dehydratase PASTICCINO 2A.
Os01g0150700	Hypothetical_conserved_gene.
Os01g0150800	Protein_tyrosine phosphatase_like, PTPLA domain containing protein.
Os01g0150900	Conserved_hypothetical_protein.
Os01g0150950	Conserved_hypothetical_protein.
Os01g0151100	HSP20_like chaperone domain containing protein.
Os01g0151200	Similar_to_Inner_membrane_protein_ALBINO3,_chloroplast_precursor._Splice_isoform_2.
Os01g0151200	Similar_to_inner_membrane_protein_ALBINO3.
Os01g0151400	Similar_to_Gamma_glutamyl transferase.
Os01g0151500	Similar_to_GGT4_(GAMMA_GLUTAMYL TRANSPEPTIDASE 4); gamma_glutamyltransferase/ glutathione gamma_glutamylcysteinyltransferase.
Os01g0151600	Conserved_hypothetical_protein.
Os01g0151700	Similar_to_Short_chain dehydrogenase Tic32.
Os01g0151750	Hypothetical_conserved_gene.
Os01g0151900	Pentatricopeptide_repeat_domain_containing_protein.
Os01g0152000	Protein_kinase,_core_domain_containing_protein.
Os01g0152050	Hypothetical_protein.
Os01g0152100	F_box domain, Skp2_like domain containing protein.
Os01g0152200	F_box domain, Skp2_like domain containing protein.
Os01g0152300	Similar_to_Histone_H2B.1.
Os01g0152500	Hypothetical_conserved_gene.
Os01g0152600	Protein_kinase,_catalytic_domain_domain_containing_protein.
Os01g0152687	Serine_threonine/tyrosine_protein kinase domain containing protein.
Os01g0152700	Similar_to_Histone_H2B_(CaH2B).
Os01g0152800	Protein_kinase,_core_domain_containing_protein.
Os01g0152850	Hypothetical_protein.
Os01g0152900	Similar_to_Histone_H2B.1.
Os01g0152950	Cyclin_like F_box domain containing protein.
Os01g0152951	Hypothetical_conserved_gene.
Os01g0153000	Protein_kinase,_catalytic_domain_domain_containing_protein.
Os01g0153050	Hypothetical_protein.
Os01g0153100	Similar_to_Histone_H2B_3 (Fragment).
Os01g0153150	Hypothetical_conserved_gene.
Os01g0153200	Hypothetical_conserved_gene.
Os01g0153250	Hypothetical_conserved_gene.
Os01g0153275	Hypothetical_protein.
Os01g0153300	Similar_to_Histone_H2B.1.
Os01g0153400	Similar_to_tRNA_synthetase_class_II_(D,_K_and_N)_family_protein.
Os01g0153500	Protein_of_unknown_function_DUF674_domain_containing_protein.
Os01g0153550	Hypothetical_protein.
Os01g0153600	Protein_of_unknown_function_DUF674_domain_containing_protein.
